,0,1,2,3
0,2011,0,10,2
1,2011,0,11,9
2,2011,0,12,1
3,2011,0,12,1
4,2011,0,12,1
5,2011,0,12,1
6,2011,0,12,1
7,2011,0,12,1
8,2011,0,12,1
9,2011,0,12,1
10,2011,0,12,1
11,2011,0,12,1
12,2011,0,12,1
13,2011,0,12,1
14,2011,0,12,1
15,2011,0,12,1
16,2011,0,12,1
17,2011,0,12,1
18,2011,0,12,1
19,2011,0,12,1
20,2011,0,12,1
21,2011,0,12,1
22,2011,0,12,1
23,2011,0,12,1
24,2011,0,12,1
25,2011,0,12,1
26,2011,0,12,1
27,2011,0,12,1
28,2011,0,12,1
29,2011,0,12,1
30,2011,0,12,1
31,2011,0,12,1
32,2011,0,12,2
33,2011,0,12,2
34,2011,0,12,2
35,2011,0,12,2
36,2011,0,12,2
37,2011,0,12,2
38,2011,0,12,2
39,2011,0,12,2
40,2011,0,12,2
41,2011,0,12,2
42,2011,0,12,2
43,2011,0,12,2
44,2011,0,12,2
45,2011,0,12,2
46,2011,0,12,2
47,2011,0,12,2
48,2011,0,12,2
49,2011,0,12,2
50,2011,0,12,2
51,2011,0,12,2
52,2011,0,12,2
53,2011,0,12,2
54,2011,0,12,3
55,2011,0,12,3
56,2011,0,12,3
57,2011,0,12,3
58,2011,0,12,3
59,2011,0,12,3
60,2011,0,12,3
61,2011,0,12,3
62,2011,0,12,3
63,2011,0,12,3
64,2011,0,12,3
65,2011,0,12,3
66,2011,0,12,3
67,2011,0,12,3
68,2011,0,12,3
69,2011,0,12,3
70,2011,0,12,3
71,2011,0,12,3
72,2011,0,12,3
73,2011,0,12,4
74,2011,0,12,4
75,2011,0,12,4
76,2011,0,12,4
77,2011,0,12,4
78,2011,0,12,4
79,2011,0,12,4
80,2011,0,12,4
81,2011,0,12,4
82,2011,0,12,4
83,2011,0,12,4
84,2011,0,12,4
85,2011,0,12,4
86,2011,0,12,4
87,2011,0,12,4
88,2011,0,12,4
89,2011,0,12,4
90,2011,0,12,4
91,2011,0,12,4
92,2011,0,12,4
93,2011,0,12,4
94,2011,0,12,4
95,2011,0,12,4
96,2011,0,12,4
97,2011,0,12,4
98,2011,0,12,4
99,2011,0,12,4
100,2011,0,12,4
101,2011,0,12,4
102,2011,0,12,4
103,2011,0,12,5
104,2011,0,12,5
105,2011,0,12,5
106,2011,0,12,5
107,2011,0,12,5
108,2011,0,12,5
109,2011,0,12,5
110,2011,0,12,5
111,2011,0,12,5
112,2011,0,12,5
113,2011,0,12,5
114,2011,0,12,5
115,2011,0,12,5
116,2011,0,12,5
117,2011,0,12,5
118,2011,0,12,5
119,2011,0,12,5
120,2011,0,12,5
121,2011,0,12,5
122,2011,0,12,5
123,2011,0,12,5
124,2011,0,12,5
125,2011,0,12,5
126,2011,0,12,5
127,2011,0,12,5
128,2011,0,12,5
129,2011,0,12,5
130,2011,0,12,5
131,2011,0,12,5
132,2011,0,12,5
133,2011,0,12,6
134,2011,0,12,6
135,2011,0,12,6
136,2011,0,12,6
137,2011,0,12,6
138,2011,0,12,6
139,2011,0,12,6
140,2011,0,12,6
141,2011,0,12,6
142,2011,0,12,6
143,2011,0,12,6
144,2011,0,12,6
145,2011,0,12,6
146,2011,0,12,6
147,2011,0,12,6
148,2011,0,12,6
149,2011,0,12,6
150,2011,0,12,6
151,2011,0,12,6
152,2011,0,12,6
153,2011,0,12,6
154,2011,0,12,6
155,2011,0,12,6
156,2011,0,12,6
157,2011,0,12,6
158,2011,0,12,6
159,2011,0,12,6
160,2011,0,12,6
161,2011,0,12,6
162,2011,0,12,7
163,2011,0,12,7
164,2011,0,12,7
165,2011,0,12,7
166,2011,0,12,7
167,2011,0,12,7
168,2011,0,12,7
169,2011,0,12,7
170,2011,0,12,7
171,2011,0,12,7
172,2011,0,12,7
173,2011,0,12,7
174,2011,0,12,7
175,2011,0,12,7
176,2011,0,12,7
177,2011,0,12,7
178,2011,0,12,7
179,2011,0,12,7
180,2011,0,12,7
181,2011,0,12,7
182,2011,0,12,7
183,2011,0,12,7
184,2011,0,12,7
185,2011,0,12,7
186,2011,0,12,7
187,2011,0,12,7
188,2011,0,12,7
189,2011,0,12,7
190,2011,0,12,7
191,2011,0,12,7
192,2011,0,12,8
193,2011,0,12,8
194,2011,0,12,8
195,2011,0,12,8
196,2011,0,12,8
197,2011,0,12,8
198,2011,0,12,8
199,2011,0,12,8
200,2011,0,12,8
201,2011,0,12,8
202,2011,0,12,8
203,2011,0,12,8
204,2011,0,12,8
205,2011,0,12,8
206,2011,0,12,8
207,2011,0,12,8
208,2011,0,12,8
209,2011,0,12,8
210,2011,0,12,8
211,2011,0,12,8
212,2011,0,12,8
213,2011,0,12,8
214,2011,0,12,8
215,2011,0,12,8
216,2011,0,12,8
217,2011,0,12,8
218,2011,0,12,8
219,2011,0,12,8
220,2011,0,12,8
221,2011,0,12,8
222,2011,0,12,8
223,2011,0,12,9
224,2011,0,12,9
225,2011,0,12,9
226,2011,0,12,9
227,2011,0,12,9
228,2011,0,12,9
229,2011,0,12,9
230,2011,0,12,9
231,2011,0,12,9
232,2011,0,12,9
233,2011,0,12,9
234,2011,0,12,9
235,2011,0,12,9
236,2011,0,12,9
237,2011,0,12,9
238,2011,0,12,9
239,2011,0,12,9
240,2011,0,12,9
241,2011,0,12,9
242,2011,0,12,9
243,2011,0,12,9
244,2011,0,12,9
245,2011,0,12,9
246,2011,0,12,9
247,2011,0,12,9
248,2011,0,12,9
249,2011,0,12,10
250,2011,0,12,10
251,2011,0,12,10
252,2011,0,12,10
253,2011,0,12,10
254,2011,0,12,10
255,2011,0,12,10
256,2011,0,12,10
257,2011,0,12,10
258,2011,0,12,10
259,2011,0,12,10
260,2011,0,12,10
261,2011,0,12,10
262,2011,0,12,10
263,2011,0,12,10
264,2011,0,12,10
265,2011,0,12,10
266,2011,0,12,10
267,2011,0,12,10
268,2011,0,12,10
269,2011,0,12,10
270,2011,0,12,10
271,2011,0,12,10
272,2011,0,12,10
273,2011,0,12,10
274,2011,0,12,10
275,2011,0,12,10
276,2011,0,12,10
277,2011,0,12,10
278,2011,0,12,10
279,2011,0,12,10
280,2011,0,12,11
281,2011,0,12,11
282,2011,0,12,11
283,2011,0,12,11
284,2011,0,12,11
285,2011,0,12,11
286,2011,0,12,11
287,2011,0,12,11
288,2011,0,12,11
289,2011,0,12,11
290,2011,0,12,11
291,2011,0,12,11
292,2011,0,12,11
293,2011,0,12,11
294,2011,0,12,11
295,2011,0,12,11
296,2011,0,12,11
297,2011,0,12,11
298,2011,0,12,11
299,2011,0,12,11
300,2011,0,12,11
301,2011,0,12,11
302,2011,0,12,11
303,2011,0,12,11
304,2011,0,12,11
305,2011,0,12,11
306,2011,0,12,11
307,2011,0,12,11
308,2011,0,12,11
309,2011,0,12,11
310,2011,0,12,12
311,2011,0,3,1
312,2011,0,6,1
313,2011,0,6,2
314,2011,0,6,5
315,2011,0,6,5
316,2011,0,7,1
317,2011,0,7,1
318,2011,0,7,1
319,2011,0,7,1
320,2011,0,7,1
321,2011,0,7,1
322,2011,0,7,1
323,2011,0,7,1
324,2011,0,7,1
325,2011,0,7,1
326,2011,0,7,1
327,2011,0,7,1
328,2011,0,7,1
329,2011,0,7,1
330,2011,0,7,1
331,2011,0,7,1
332,2011,0,7,1
333,2011,0,7,1
334,2011,0,7,1
335,2011,0,7,1
336,2011,0,7,1
337,2011,0,7,1
338,2011,0,7,1
339,2011,0,7,1
340,2011,0,7,1
341,2011,0,7,1
342,2011,0,7,1
343,2011,0,7,1
344,2011,0,7,1
345,2011,0,7,2
346,2011,0,7,2
347,2011,0,7,2
348,2011,0,7,2
349,2011,0,7,2
350,2011,0,7,2
351,2011,0,7,2
352,2011,0,7,2
353,2011,0,7,2
354,2011,0,7,2
355,2011,0,7,2
356,2011,0,7,2
357,2011,0,7,2
358,2011,0,7,2
359,2011,0,7,2
360,2011,0,7,2
361,2011,0,7,2
362,2011,0,7,2
363,2011,0,7,2
364,2011,0,7,2
365,2011,0,7,2
366,2011,0,7,2
367,2011,0,7,2
368,2011,0,7,2
369,2011,0,7,2
370,2011,0,7,3
371,2011,0,7,3
372,2011,0,7,3
373,2011,0,7,3
374,2011,0,7,3
375,2011,0,7,3
376,2011,0,7,3
377,2011,0,7,3
378,2011,0,7,3
379,2011,0,7,3
380,2011,0,7,3
381,2011,0,7,3
382,2011,0,7,3
383,2011,0,7,3
384,2011,0,7,3
385,2011,0,7,3
386,2011,0,7,3
387,2011,0,7,3
388,2011,0,7,3
389,2011,0,7,3
390,2011,0,7,3
391,2011,0,7,3
392,2011,0,7,3
393,2011,0,7,3
394,2011,0,7,3
395,2011,0,7,3
396,2011,0,7,3
397,2011,0,7,3
398,2011,0,7,3
399,2011,0,7,3
400,2011,0,7,4
401,2011,0,7,4
402,2011,0,7,4
403,2011,0,7,4
404,2011,0,7,4
405,2011,0,7,4
406,2011,0,7,4
407,2011,0,7,4
408,2011,0,7,4
409,2011,0,7,4
410,2011,0,7,4
411,2011,0,7,4
412,2011,0,7,4
413,2011,0,7,4
414,2011,0,7,4
415,2011,0,7,4
416,2011,0,7,4
417,2011,0,7,4
418,2011,0,7,4
419,2011,0,7,4
420,2011,0,7,4
421,2011,0,7,4
422,2011,0,7,4
423,2011,0,7,4
424,2011,0,7,4
425,2011,0,7,4
426,2011,0,7,4
427,2011,0,7,4
428,2011,0,7,4
429,2011,0,7,5
430,2011,0,7,5
431,2011,0,7,5
432,2011,0,7,5
433,2011,0,7,5
434,2011,0,7,5
435,2011,0,7,5
436,2011,0,7,5
437,2011,0,7,5
438,2011,0,7,5
439,2011,0,7,5
440,2011,0,7,5
441,2011,0,7,5
442,2011,0,7,5
443,2011,0,7,5
444,2011,0,7,5
445,2011,0,7,5
446,2011,0,7,5
447,2011,0,7,5
448,2011,0,7,5
449,2011,0,7,6
450,2011,0,7,8
451,2011,0,7,8
452,2011,0,7,8
453,2011,0,7,8
454,2011,0,7,8
455,2011,0,7,8
456,2011,0,7,8
457,2011,0,7,8
458,2011,0,7,8
459,2011,0,7,8
460,2011,0,7,8
461,2011,0,7,10
462,2011,0,7,10
463,2011,0,7,10
464,2011,0,7,10
465,2011,0,7,10
466,2011,0,7,10
467,2011,0,7,10
468,2011,0,7,10
469,2011,0,7,10
470,2011,0,7,10
471,2011,0,7,10
472,2011,0,7,10
473,2011,0,7,10
474,2011,0,7,10
475,2011,0,7,10
476,2011,0,7,11
477,2011,0,7,11
478,2011,0,7,11
479,2011,0,7,11
480,2011,0,7,11
481,2011,0,7,12
482,2011,0,8,3
483,2011,0,1,1
484,2011,0,1,1
485,2011,0,1,1
486,2011,0,1,1
487,2011,0,1,1
488,2011,0,1,1
489,2011,0,1,1
490,2011,0,1,1
491,2011,0,1,1
492,2011,0,1,1
493,2011,0,1,1
494,2011,0,1,1
495,2011,0,1,2
496,2011,0,1,2
497,2011,0,1,2
498,2011,0,1,2
499,2011,0,1,2
500,2011,0,1,2
501,2011,0,1,2
502,2011,0,1,2
503,2011,0,1,2
504,2011,0,1,2
505,2011,0,1,3
506,2011,0,1,3
507,2011,0,1,3
508,2011,0,1,3
509,2011,0,1,3
510,2011,0,11,5
511,2011,0,12,1
512,2011,0,12,3
513,2011,0,12,5
514,2011,0,12,6
515,2011,0,12,9
516,2011,0,12,9
517,2011,0,12,9
518,2011,0,12,9
519,2011,0,1,1
520,2011,0,1,2
521,2011,0,0,2
522,2011,0,1,1
523,2011,0,1,1
524,2011,0,1,1
525,2011,0,1,1
526,2011,0,1,1
527,2011,0,1,1
528,2011,0,1,1
529,2011,0,1,1
530,2011,0,1,1
531,2011,0,1,1
