,0,1,2,3
0,2011,0,8,11
1,2011,0,8,11
2,2011,0,8,11
3,2011,0,8,11
4,2011,0,8,11
5,2011,0,8,11
6,2011,0,8,11
7,2011,0,8,11
8,2011,0,8,11
9,2011,0,8,12
10,2011,0,8,1
11,2011,0,8,1
12,2011,0,8,1
13,2011,0,8,1
14,2011,0,8,1
15,2011,0,8,1
16,2011,0,8,1
17,2011,0,8,1
18,2011,0,8,1
19,2011,0,8,1
20,2011,0,8,1
21,2011,0,8,1
22,2011,0,8,1
23,2011,0,8,1
24,2011,0,8,1
25,2011,0,8,1
26,2011,0,8,1
27,2011,0,8,1
28,2011,0,8,1
29,2011,0,8,1
30,2011,0,8,1
31,2011,0,8,1
32,2011,0,8,1
33,2011,0,8,1
34,2011,0,8,1
35,2011,0,8,1
36,2011,0,8,1
37,2011,0,8,1
38,2011,0,8,1
39,2011,0,8,1
40,2011,0,8,1
41,2011,0,8,2
42,2011,0,8,2
43,2011,0,8,2
44,2011,0,8,2
45,2011,0,8,2
46,2011,0,8,2
47,2011,0,8,2
48,2011,0,8,2
49,2011,0,8,2
50,2011,0,8,2
51,2011,0,8,2
52,2011,0,8,2
53,2011,0,8,2
54,2011,0,8,2
55,2011,0,8,2
56,2011,0,8,2
57,2011,0,8,2
58,2011,0,8,2
59,2011,0,8,2
60,2011,0,8,2
61,2011,0,8,2
62,2011,0,8,2
63,2011,0,8,2
64,2011,0,8,2
65,2011,0,8,2
66,2011,0,8,2
67,2011,0,8,2
68,2011,0,8,2
69,2011,0,8,3
70,2011,0,8,3
71,2011,0,8,3
72,2011,0,8,3
73,2011,0,8,3
74,2011,0,8,3
75,2011,0,8,3
76,2011,0,8,3
77,2011,0,8,3
78,2011,0,8,3
79,2011,0,8,3
80,2011,0,8,3
81,2011,0,8,3
82,2011,0,8,3
83,2011,0,8,3
84,2011,0,8,3
85,2011,0,8,3
86,2011,0,8,3
87,2011,0,8,3
88,2011,0,8,3
89,2011,0,8,3
90,2011,0,8,3
91,2011,0,8,3
92,2011,0,8,3
93,2011,0,8,4
94,2011,0,8,4
95,2011,0,8,4
96,2011,0,8,4
97,2011,0,8,4
98,2011,0,8,4
99,2011,0,8,4
100,2011,0,8,4
101,2011,0,8,4
102,2011,0,8,4
103,2011,0,8,4
104,2011,0,8,5
105,2011,0,8,5
106,2011,0,8,3
107,2011,0,8,5
108,2011,0,8,5
109,2011,0,8,5
110,2011,0,8,5
111,2011,0,8,5
112,2011,0,8,5
113,2011,0,8,5
114,2011,0,8,5
115,2011,0,8,3
116,2011,0,8,5
117,2011,0,8,5
118,2011,0,8,5
119,2011,0,8,5
120,2011,0,8,5
121,2011,0,8,5
122,2011,0,8,5
123,2011,0,8,5
124,2011,0,8,5
125,2011,0,8,5
126,2011,0,8,5
127,2011,0,8,3
128,2011,0,8,5
129,2011,0,8,5
130,2011,0,8,5
131,2011,0,8,5
132,2011,0,8,5
133,2011,0,8,5
134,2011,0,8,5
135,2011,0,8,5
136,2011,0,8,5
137,2011,0,8,5
138,2011,0,8,6
139,2011,0,8,6
140,2011,0,8,6
141,2011,0,8,6
142,2011,0,8,6
143,2011,0,8,6
144,2011,0,8,6
145,2011,0,8,6
146,2011,0,8,6
147,2011,0,8,6
148,2011,0,8,6
149,2011,0,8,6
150,2011,0,8,6
151,2011,0,8,6
152,2011,0,8,6
153,2011,0,8,6
154,2011,0,8,6
155,2011,0,8,6
156,2011,0,8,6
157,2011,0,8,6
158,2011,0,8,6
159,2011,0,8,6
160,2011,0,8,6
161,2011,0,8,6
162,2011,0,8,6
163,2011,0,8,6
164,2011,0,8,6
165,2011,0,8,6
166,2011,0,8,6
167,2011,0,8,6
168,2011,0,8,7
169,2011,0,8,7
170,2011,0,8,7
171,2011,0,8,7
172,2011,0,8,7
173,2011,0,8,7
174,2011,0,8,7
175,2011,0,8,7
176,2011,0,8,7
177,2011,0,8,7
178,2011,0,8,7
179,2011,0,8,7
180,2011,0,8,7
181,2011,0,8,7
182,2011,0,8,7
183,2011,0,8,7
184,2011,0,8,7
185,2011,0,8,7
186,2011,0,8,7
187,2011,0,8,7
188,2011,0,8,7
189,2011,0,8,7
190,2011,0,8,7
191,2011,0,8,7
192,2011,0,8,7
193,2011,0,8,7
194,2011,0,8,7
195,2011,0,8,7
196,2011,0,8,7
197,2011,0,8,7
198,2011,0,8,7
199,2011,0,8,8
200,2011,0,8,8
201,2011,0,8,8
202,2011,0,8,8
203,2011,0,8,8
204,2011,0,8,8
205,2011,0,8,8
206,2011,0,8,8
207,2011,0,8,8
208,2011,0,8,8
209,2011,0,8,8
210,2011,0,8,8
211,2011,0,8,8
212,2011,0,8,8
213,2011,0,8,8
214,2011,0,8,8
215,2011,0,8,8
216,2011,0,8,8
217,2011,0,8,8
218,2011,0,8,8
219,2011,0,8,8
220,2011,0,8,8
221,2011,0,8,8
222,2011,0,8,8
223,2011,0,8,8
224,2011,0,8,8
225,2011,0,8,8
226,2011,0,8,8
227,2011,0,8,8
228,2011,0,8,8
229,2011,0,8,8
230,2011,0,8,9
231,2011,0,8,9
232,2011,0,8,9
233,2011,0,8,3
234,2011,0,8,9
235,2011,0,8,9
236,2011,0,8,9
237,2011,0,8,3
238,2011,0,8,3
239,2011,0,8,9
240,2011,0,8,3
241,2011,0,8,9
242,2011,0,8,9
243,2011,0,8,4
244,2011,0,8,9
245,2011,0,8,9
246,2011,0,8,9
247,2011,0,8,4
248,2011,0,8,9
249,2011,0,8,9
250,2011,0,8,4
251,2011,0,8,9
252,2011,0,8,9
253,2011,0,8,9
254,2011,0,8,4
255,2011,0,8,9
256,2011,0,8,9
257,2011,0,8,4
258,2011,0,8,9
259,2011,0,8,9
260,2011,0,8,4
261,2011,0,8,9
262,2011,0,8,9
263,2011,0,8,9
264,2011,0,8,4
265,2011,0,8,9
266,2011,0,8,9
267,2011,0,8,9
268,2011,0,8,9
269,2011,0,8,9
270,2011,0,8,9
271,2011,0,8,10
272,2011,0,8,10
273,2011,0,8,10
274,2011,0,8,10
275,2011,0,8,10
276,2011,0,8,10
277,2011,0,8,10
278,2011,0,8,10
279,2011,0,8,10
280,2011,0,8,10
281,2011,0,8,10
282,2011,0,8,10
283,2011,0,8,10
284,2011,0,8,10
285,2011,0,8,10
286,2011,0,8,10
287,2011,0,8,10
288,2011,0,8,10
289,2011,0,8,10
290,2011,0,8,10
291,2011,0,8,4
292,2011,0,8,10
293,2011,0,8,10
294,2011,0,8,10
295,2011,0,8,4
296,2011,0,8,10
297,2011,0,8,10
298,2011,0,8,4
299,2011,0,8,10
300,2011,0,8,10
301,2011,0,8,4
302,2011,0,8,10
303,2011,0,8,10
304,2011,0,8,4
305,2011,0,8,10
306,2011,0,8,10
307,2011,0,8,4
308,2011,0,8,11
309,2011,0,8,11
310,2011,0,8,11
311,2011,0,8,11
312,2011,0,8,11
313,2011,0,8,11
314,2011,0,8,4
315,2011,0,8,11
316,2011,0,8,11
317,2011,0,8,4
318,2011,0,8,11
319,2011,0,8,11
320,2011,0,8,4
321,2011,0,8,11
322,2011,0,8,11
323,2011,0,8,4
324,2011,0,8,11
325,2011,0,8,11
326,2011,0,8,4
327,2011,0,8,11
328,2011,0,8,11
329,2011,0,8,4
330,2011,0,8,11
331,2011,0,8,11
332,2011,0,8,11
333,2011,0,8,11
334,2011,0,8,11
335,2011,1,8,3
336,2011,1,8,3
337,2011,1,8,4
338,2011,1,8,4
339,2011,1,8,4
340,2011,1,8,4
341,2011,1,8,4
342,2011,1,8,4
343,2011,1,8,4
344,2011,1,8,4
345,2011,1,8,4
346,2011,1,8,4
347,2011,1,8,4
348,2011,1,8,4
349,2011,1,8,4
350,2011,1,8,4
351,2011,1,8,4
352,2011,1,8,4
353,2011,1,8,4
354,2011,1,8,4
355,2011,1,8,4
